id,musicname,artist,path,img
49,Авиапарк,TEEN,/,https://tse3.mm.bing.net/th/id/OIP.fv4zKEORs5QBVBa_nJcc3AHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
50,Duvet,Boa,/,https://i.pinimg.com/736x/c0/12/20/c01220918897011748f42633ca5e64ff.jpg
51,Лёд,WENARO,/,https://i.pinimg.com/736x/ef/9c/cf/ef9ccf2d027dbfff64900d655712845e.jpg
52,1000-7,fem.love,/,https://tse4.mm.bing.net/th/id/OIP.7VwzOWauSvajQv0iOCGKBwAAAA?r=0&w=253&h=300&rs=1&pid=ImgDetMain&o=7&rm=3
53,плачь,rizza,/,https://i.pinimg.com/736x/7f/82/5c/7f825cc3fb166c4b5ed35eef8153297d.jpg
54,internet l0ve nightcore,gitarakuru,/,https://i.pinimg.com/736x/af/41/83/af4183ce7799bce94327224bd9ede5b3.jpg
55,ой больно,Рома мефчик,/,https://i.pinimg.com/1200x/10/2f/c6/102fc6515eca0a02e425510eacfa0991.jpg
56,U z a u,FADE031,/,https://tse4.mm.bing.net/th/id/OIP.6_y00EmCgOA5OXc89C9-7wHaHa?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
57,untitled,Release,/,https://photobooth.cdn.sports.ru/preset/post/b/87/87923f99e48cabed7de4a057526e7.jpeg
58,Slime Love,uglystephan,/,https://i.pinimg.com/736x/4c/9e/d3/4c9ed32255ed8bf4ca6292f8aebf3de0.jpg
59,Dead Inside,АДЛИН,/,https://settings.pro/wp-content/uploads/Player-Picture-donk.png
60,YEYO (sped up + reverb),Шайни,/,https://avatars.steamstatic.com/1c0cc58db22592ceb72dcc50d63b3fb722635247_full.jpg
61,когда ты улыбаешься Dневник Dжессики (Sped Up),КИССКОЛД,/,https://virtus-img.cdnvideo.ru/images/details-photo/plain/85/85d016fe-892c-4d00-a75d-685ffa5504c4.png
62,РЁБРА,ROKERVEKA,/,https://tse1.mm.bing.net/th/id/OIP.lAgwHeR2LUMYHY2eNQZXXgHaFj?r=0&rs=1&pid=ImgDetMain&o=7&rm=3
63,ГУЛЬ! (prod. by takizava),ROKERVEKA,/,https://i.pinimg.com/236x/3d/22/9e/3d229e61bfc017da86ec2f486bfc0708.jpg
64,skyline ryodan,"hikikomori kai, shadowraze",/,https://i.pinimg.com/736x/4c/f1/ca/4cf1ca1e2d513d14e9a193515ce3b0fb.jpg
65,new era,zxcursed,/,https://i.pinimg.com/originals/bf/07/a7/bf07a7deb90ccee0f427fbcd73011ed5.jpg
66,psiblades,shadowraze,/,https://i.pinimg.com/originals/5d/f3/28/5df328b3b240244671f341a474519f28.jpg
67,Хикикомори,meowmurr,/,https://i.pinimg.com/736x/f5/f2/60/f5f26028f11d16fac12e7a48b134ce32.jpg
68,44,shadowraze,/,https://i.pinimg.com/736x/9a/08/49/9a0849efe0f8957a4ff2ff925e709f0f.jpg
69,stockholm,shadowraze,/,https://i.pinimg.com/236x/47/6e/b9/476eb96ddd7ebd5ac884a1839da82053.jpg
70,takizawa,dope17,/,https://i.pinimg.com/736x/25/d6/9b/25d69b7822b9d5740da5a72c74249f55.jpg
71,метель,dope17,/,https://i.pinimg.com/736x/c4/9f/ae/c49fae52599fc1d48cda23c62536dcae.jpg
72,Tiki tak ,Neizvestin,/,https://i.pinimg.com/736x/29/c5/4c/29c54cd7d09f91409363fc8029a8ea11.jpg
73,katana,dope17,/,https://i.pinimg.com/originals/97/b9/f0/97b9f08cbf4d7ff41bad0e3aca134b9f.jpg
74,боль,dope17,/,https://i.pinimg.com/736x/d1/f8/14/d1f814ea3e1c6984b414accdbf3ab1ef.jpg
75,JDM NFS,"shadowraze, quiizzzmeow, Midix, jzxdx",/,https://i.pinimg.com/originals/73/81/8d/73818de2d3ba1b8ef4a28c1d60f945c4.jpg
76,fuk nigger,Kisi kisi,/,https://i.pinimg.com/736x/78/e2/9e/78e29e5c64310f6c678e2f9d8ef47b80.jpg
77,blades,zxcursed,/,https://i.pinimg.com/236x/f3/41/f0/f341f0ec1e7228ca8836c1c5517d607e.jpg?nii=t
78,Ага,vlonewex,/,https://i.pinimg.com/originals/e9/43/34/e94334bef597433d7434105011a63fbc.jpg
79,Coup de grace,"zxcursed, quiizzzmeow",/,https://i.pinimg.com/736x/54/3a/d0/543ad0b8b9714be2d992dc6078757dab.jpg
